Unnamed: 0,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,_year,fallecidos_porcentaje
444,1936-12-06,00:00,"Near Moscow, Russia",Deruluft,?,Berlin - Moscow,Antonov AN-9,CCCP-D311,160,14,11,3,9,7,2,0,Crashed short of the runway while attempting to land.,1936,64.29
1795,1959-11-16,19:06,"Lvov, Ukraine, USSR",Aeroflot,315,Moscow - Kiev - Lvov,Antonov AN-10,CCCP-11167,9401402,40,32,8,40,32,8,0,"Loss of control in icing conditions when the flaps were downed to 45° on approach, apparently due to an excessive accumulation of ice on wings and stabs. The distance between the aircraft and the ground was insufficient to expect a recovery.",1959,100.0
1816,1960-02-26,16:57,"Lvov-Snilow,  Ukraine",Aeroflot,315,Moscow - Kiev - Lviv,Antonov 10A,CCCP-11180,9401801,33,25,8,32,24,8,0,The plane crashed into a swamp short of the runway threshold. Icing of the horizontal stabilizer.,1960,96.97
1938,1962-01-27,18:17,"Batataevka, USSR",Aeroflot,?,Training,Antonov AN-10A,CCCP-11148,9400801,14,0,14,13,0,13,0,"Crashed on take off due to engine failure. The No..4 propeller did not feather and the airplane banked to the right, lost speed and crashed.",1962,92.86
1967,1962-06-28,00:00,"Near Adler, Russia",Aeroflot,?,Lvov - Sochi,Antonov AN-10A,CCCP11186,?,81,74,7,81,74,7,0,The plane crashed into a mountain during an approach to Adler Airport. The accident was caused by a change in approach patterns to the airport on the part of controllers without approval from aviation authorities.  Lack of training by the carrier for flights into mountainous regions.,1962,100.0
1976,1962-07-28,15:41,"Sochi, Russia",Aeroflot,415,Lviv - Simferopol - Sochi,Antonov An-10A,CCCP-11186,0402003,81,74,7,81,74,7,0,"Struck a mountain while attempting to land. Changes in the approach patterns for Sochi Airport, not approved by the State aviation authorities and without informing the flight crews about it.  Inadequacies of flight control and crew training in the Sochi area and training for flights in mountainous regions in general.",1962,100.0
2023,1963-02-08,17:37,"Syktyvkar ,Russia",Aeroflot,?,Training,Antonov An-10A,CCCP-11193,0402104,7,0,7,7,0,7,0,The plane stalled and crashed.,1963,100.0
2151,1965-03-20,13:13,"Khanty, Russia",Aeroflot,CCCP-46764,Tyumen - Khanty,Antonov AN-24,CCCP-46764,47301301,47,42,5,43,42,1,0,"While attempting to land the plane  undershot the runway, hit a snowdrift, broke up and caught fire.",1965,91.49
2204,1966-01-14,15:07,"Shamurat, Uzbekistan",Aeroflot,?,Nurata - Samarkand,Antonov AN-2,CCCP-02185,1122 473 05,11,9,2,11,9,2,0,The aircraft hit the slope of a mountain 3.4 km from Shamurat. Crew who decided to continue the flight in below-minima weather conditions.,1966,100.0
2221,1966-03-18,18:40,"Cairo, Egypt",United Arab Airlines,749,Nicosia - Cairo,Antonov AN-24B,SU-AOA,57302009,30,25,5,30,25,5,0,Crashed into sand dunes. Improper approach during a sandstorm with turbulence and icing. Descent of the aircraft below the safe flight altitude in the final approach.,1966,100.0
2261,1967-02-07,00:00,"Near Hourghada, UAR",Misrair,?,?,Antonov AN-24,?,?,30,?,?,30,?,?,0,Crashed after an explosion aboard the aircraft.,1967,100.0
2262,1967-02-09,05:15,"Near Mexico City, Mexico",Cubana de Aviacion,?,Havana - Mexico City,Antonov AN-12,CU-T827,401504,10,6,4,10,6,4,0,"Crashed due to 18 km from the runway. Pilot error,",1967,100.0
2317,1967-12-30,08:28,"Liepaja, Latvia",Aeroflot,A-51,Riga - Liepaja,Antonov AN-24B,CCCP-46215,67302909,51,46,5,44,41,3,0,"During the approach to airplane was high above the glide slope. At an altitude of 250 m, 4 km from the runway, the crew added takeoff power and performed  a missed approach. Simultaneously  the right engine lost power. While the crew tried to feather the propeller, the aircraft lost altitude, rolled 40 degrees to the right and struck a snow-covered field about 500 m from the runway.",1967,86.27
2318,1968-01-06,18:27,"Near Olekminsk, Russia",Aeroflot,1668,Olekminsk - 	Lensk,Antonov An-24B,CCCP-47733,69901001,46,39,6,45,39,6,0,Entered an uncontrolled descent and crashed 92 km from Olekminsk. The cause of the accident could not be determined.,1968,97.83
2359,1968-08-18,09:20,"Off Port Said, Egypt",United Arab Airlines,?,Cairo - Damascus,Antonov AN-24V,SU-AOL,67302806,40,33,7,40,33,7,0,Ditched into the Mediterranean sea. Cause unknown.,1968,100.0
2398,1969-04-02,16:08,"Zawoja, Poland",LOT Polish Airlines,165,Warsaw - Cracow,Antonov AN-24V,SP-LTF,67302406,53,48,5,53,48,5,0,The aircraft was on a flight from Warsaw to Cracow when it crashed into the Babia Gora mountains. The aircraft deviated from its normal route in heavy fog for unknown reasons.,1969,100.0
2412,1969-06-23,14:52,"Near Poroslitsy, Russia",Aeroflot,831,Moscow - Chernihiv,Ilyushin IL-14M / Antonov An-12BP,CCCP-52018,7343208/402503,120,110,10,120,110,10,0,"A soviet air force plane carrying 91 paratroopers collided with a passenger airliner at 3,000 m. The IL-14 pilot changed altitude without permission to avoid storm clouds. Twenty-four killed on the IL-14 and 96 on the An12.",1969,100.0
2420,1969-08-03,16:00,"Preobrazhenka, Ukraine",Aeroflot,H926,Dnepropetrovsk - 	Vinnitsa,Antonov An-24B,CCCP-46248,77303206,55,51,4,55,51,4,0,"At an altitude of 4,000 m the propeller separated from the left engine.The blade punctured the fuselage, severing elevator and aileron controls. The crew could not control the plane  anymore. It went into a spin and crashed.",1969,100.0
2425,1969-08-26,09:45,"Khovu-Aksy, Russia",Aeroflot,545,Kyzyl - Khovu-Aksy,Antonov AN-2,CCCP-41971,1 33 473 11,14,11,3,14,11,3,0,The crew encountered below-minima weather conditions with low clouds over the mountains.The airplane struck the slope of a mountain,1969,100.0
2440,1969-10-13,17:27,"Nizhnevartovsk, Russia",Aeroflot,227,Surgut - Nizhnevartovsk,Antonov An-24B,CCCP-47772,79901404,56,52,4,24,22,2,0,"The plane crashed 1,090 mshort of the runway while on approach A propeller accidently feathered when the de-icing system was activated causing the plane to lose altitude and crash.",1969,42.86
2442,1969-11-13,02:33,"Near Anderma, Russia",Aeroflot,5009,Amderma - Moscow,Antonov An-12TB,CCCP-11376,402406,12,9,3,12,9,3,0,Crashed on approach. Icing.,1969,100.0
2447,1969-12-06,07:07,"Near Khantanga, Russia",Aeroflot,5135,Syktyvkar - Khatanga,Antonov An-12PL,CCCP-11381,402807,8,2,6,8,2,6,0,Crashed short of the runway on approach. Icing.,1969,100.0
2458,1970-01-28,20:53,"Near Batagai, Russia",Aeroflot,?,Chokurdakh - Batagay,Antonov AN-24,CCCP-47701,59900202,34,28,6,34,28,6,0,Crashed into a mountain while on approach after executing a premature descent.,1970,100.0
2461,1970-02-04,13:45,"Apuseni mountains, Romania",Tarom,?,Bucharest - Oradea,Antonov AN-24V,YR-AMT,77303310,22,18,4,21,17,4,0,"While descending in poor weather conditions, the airplane struck tree tops, stalled and crashed in a snow covered hill located in the Vladeasa Mountain Range, about 73 km southeast of Oradea Airport.",1970,95.45
2473,1970-04-01,04:07,"Novosibirsk, Russia",Aeroflot,1661,Krasnoyarsk - Novosibirs,Antonov AN-24V,CCCP-47751,79901204,45,40,5,45,40,5,0,The aircraft crashed after colliding with a radiosonde weather balloon and disintegrated in the air.,1970,100.0
2484,1970-05-15,11:49,"Kishiniev, Moldavia, USSR",Aeroflot,?,Training,Antonov AN-10,CCCP11149,9 4 008 02,11,0,11,11,0,11,0,"On final, the airplane banked left, lost height and crashed in a large explosion a few km short of runway threshold. Pilot error.",1970,100.0
