Unnamed: 0,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,_year,fallecidos_porcentaje
145,1928-02-26,00:00,"Marquette, Nebraska",Boeing Air Transport,?,?,Boeing 40,NC280,891,2,1,1,1,1,0,0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.,1928,50.0
147,1928-04-17,00:00,"Federal, Wyoming",Boeing Air Transport,?,?,Boeing 40,"NC282NC282",893,2,1,1,1,1,0,0,Spatial disorientation after entering a snowstorm.,1928,50.0
215,1930-01-10,00:00,"Brawnson, Nebraska",Boeing Air Transport,?,?,Boeing 95,NC184E,?,1,0,1,1,0,1,0,The airmail plane crash landed and burst into flames on a farm in fog and snow while attempting to make an emergency landing.,1930,100.0
230,1930-09-25,00:00,"Edmonton, Alberta, Canada",Western Canada Airways,?,Calgary - Moosejaw,Boeing 40,CF-AIN,1165,3,2,1,3,2,1,0,The air mail plane crashed in fog  while attempting to land in fog.,1930,100.0
239,1930-11-18,20:00,"Techachapi Mountains, California",Pacific Air Transport,?,"Burbank, CA - Oakland, CA",Boeing 40,NC5340,?,3,0,3,3,0,3,?,"Crashed into a mountainside at an altitude of 4,500  feet during a snowstorm.",1930,100.0
242,1931-01-22,00:00,"Bluff Mountain, Washington",Varney Air Lines,?,Portland - Pasco,Boeing 40,NC741K,1422,1,0,1,1,0,1,0,The mail plane flew into Bluff Mountain in dense fog.,1931,100.0
249,1931-05-05,23:30,"Burbank, California",Pacific Air Transport,?,San Diego - Los Angeles,Boeing 40,NC5390,1044,2,0,2,2,0,2,0,The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog.,1931,100.0
251,1931-05-24,22:30,"Bellefonte, Pennsylvania",National Air Transport,?,?,Boeing 95,NC397E,1057,1,0,1,1,0,1,0,Crashed into a mountain and burned in poor visibility and icing conditions.,1931,100.0
262,1931-09-16,04:00,"Oakland, California",Pacific Air Transport,?,"Oakland, CA - Seattle, WA",Boeing 40,NC10347,1428,4,3,1,4,3,1,0,Crashed into San Francisco Bay shortly after taking off from Oakland airport.,1931,100.0
267,1931-11-23,00:00,"Salt Lake City, Utah",Boeing Air Transport,?,?,Boeing 40,NC7465,897,1,0,1,1,0,1,0,The mail plane crashed 8 miles west of Salt Lake airport. It is believed the plane overturned while attempting to land in the dark and in a snowstorm.,1931,100.0
269,1931-11-26,22:30,"Pasco, Washington",Varney Air Lines,?,"Portland,  OR - Pasco, WA",Boeing 40,NC10338,1419,1,0,1,1,0,1,0,Crashed in fog while attempting to land.,1931,100.0
277,1932-02-02,00:00,"Rio Vista, California",Boeing Air Transport,?,?,Boeing 40,NC291,902,2,0,2,1,0,1,0,Struck an irrigation ditch and caught fire during landing.,1932,50.0
284,1932-03-31,00:00,"Bedford, Ohio",National Air Transport,?,?,Boeing 95,NC191E,1054,1,0,1,1,0,1,0,Crashed in a storm.,1932,100.0
286,1932-05-16,00:00,"Burbank, California",Pacific Air Transport,?,San Diego - Burbank - Oakland,Boeing 40,NC5589,1042,3,2,1,3,2,1,0,Crashed and burned  in fog while attempting to land at Burbank Airport.,1932,100.0
287,1932-05-30,12:00,"Portland, Oregon",Varney Air Lines,?,?,Boeing 40,NC830M,1155,2,0,2,1,0,1,0,Crashed in a river after the engine exploded.,1932,50.0
300,1932-12-14,00:00,"Rocky Ridge, Colorado",Boeing Air Transport,?,?,Boeing 40,NC281,892,1,0,1,1,0,1,0,Struck a mountain when the pilot reduced altitude to maintain contact with the ground.,1932,100.0
320,1933-10-10,21:00,"Chesterton, Indiana",United Air Lines,?,Newark - Cleveland - Chicago - Oakland,Boeing 247,NC13304,1685,10,7,3,10,7,3,0,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. Eyewitnesses on the ground reported hearing an explosion shortly after 9 p.m., and told of seeing the plane in flames at an altitude of about 1,000 feet. A second explosion followed after the plane crashed.This was the first proven case of sabotage in the history of commercial aviation.",1933,100.0
322,1933-11-09,22:35,"Portland, Oregon",United Air Lines,?,"Seattle, WA - Dallas, TX",Boeing 247,NC13345,1772,10,7,3,4,3,1,?,Crashed in a thickly wooded area upon taking off after the pilot became lost in fog.,1933,40.0
326,1933-11-24,00:00,"Wedron, Illinois",National Air Transport,?,?,Boeing 247,NC13324,1705,2,0,2,2,0,2,0,Crashed under unknown circumstances.,1933,100.0
332,1934-02-23,14:15,"Near Salt Lake City, Utah",Boeing Aircraft Company,?,Salt Lake City - Cheyenne,Boeing 247,NC13357,1739,8,5,3,8,5,3,0,"Crashed on top of Parley's Canyon, 20 miles from Salt Lake City shortly after taking off for Cheyenne. Pilot error. The crew failed to gain sufficient altitude to clear rapidly rising terrain.",1934,100.0
374,1935-05-27,16:00,"Glendo, Wyoming",Wyoming Air Service,?,Billings - Sheridan - Casper - Cheyenne,Boeing 221,NC725W,1153,1,0,1,1,0,1,0,"While flying in poor weather conditions, the pilot decided to reduce his altitude to maintain a visual contact with the ground and crashed into a hill. The accidental collision with the ground while flying low due to severe local weather conditions.",1935,100.0
388,1935-09-01,23:00,"Burbank, California",Western Air Express,?,"Burbank, CA - Salt Lake City, UT",Boeing 247,NC13314,1695,3,0,3,3,0,3,0,"A few minutes after take off from Burbank Airport, while climbing to a height of 1,000 feet in foggy conditions, the aircraft went out of control, stalled, hit power lines and crashed in flames in a field.",1935,100.0
391,1935-10-07,02:19,"Near Cheyenne, Wyoming",United Air Lines,4,Salt Lake City - Cheyenne,Boeing 247D,NC13317,1698,12,9,3,12,9,3,0,"While flying in a normal, slightly descending path, the aircraft  first collided with the ground just a few feet  below the top of a small knoll tearing out both engines and engine nacelles. It then rebounded and continued through the air for a distance of 1,120 feet, where it came to rest.  Error on the part of the pilot in executing an abrupt maneuver with insufficient altitude for safety and failure of the pilot to maintain proper control of the aircraft during this maneuver.",1935,100.0
394,1935-10-30,19:40,"Cheyenne, Wyoming",United Air Lines,?,Test flight,Boeing B-247-D,NC13323,1704,4,0,4,4,0,4,0,Crashed into a hill in poor weather conditions 5 miles south of Cheyenne. Test flight. Poor judgment by the pilot for executing an abrupt maneuver with insufficient altitude for safety and  failure of the pilot to maintain proper control of the aircraft during this maneuver.,1935,100.0
447,1936-12-15,03:14,"Near Salt Lake City, Utah",Western Air Express,6,Burbank - Las Vegas - Salt Lake City,Boeing 247D,NC13370,1957,7,4,3,7,4,3,0,Crashed into Lone Peak while attempting to land at Salt Lake. Inability of the pilots to identify the south leg of the Salt Lake radio range due to a local static condition which rendered both range receivers in the airplane inoperative.,1936,100.0
452,1936-12-27,19:38,"Newhall, California",United Air Lines,34,Oakland - San Francisco - Los Angeles,Boeing 247D,NC13355,1737,12,10,2,12,10,2,0,"While on approach to Burbank Airport, the airliner crashed into Rice Canyon, just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings, continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather.",1936,100.0
454,1937-01-12,11:07,"Near Newhall, California",Western Air Express,7,Salt Lake City - Burbank,Boeing 247D,NC13315,1696,13,11,2,5,4,1,0,"The aircraft crashed into Pinetos Peak, 4 miles southeast of Newhall while attempting to land at Burbank Airport in fog and rain. The pilot descended to a dangerously low altitude without positive knowledge of his position. African explorer, Martin Johnson, 52, killed. Johnson suffered a fractured skull in the crash and died the next day in a hospital.",1937,38.46
554,1939-03-18,13:17,"Near Adler, Washington",Boeing Aircraft Company,?,Test flight,Boeing 307 Stratoliner,NX19901,1994,10,8,2,10,8,2,0,"The aircraft crashed after the tail broke off. Dutch engineer A.G. von Baumhauer among those killed.  He was a famous helicopter pioneer who first came up with the tail rotor/main rotor configuration which is in use today. Strructural failure of the wings and horizontal tail surfaces due t o the imposition of loads thereon in excess of those for which they were designed, the failure occurring in an abrupt pull-out from a dive following recovery from an inadvertent spin.",1939,100.0
577,1940-02-27,10:00,"Near Bucaramanga, Columbia",SCADTA,?,Bogota - Cucuta,Boeing 247D,C-79,?,11,9,2,11,9,2,0,"The plane hit a mountain in the Andes  near Tona, northeast of Bucaramanga after the crew lost their bearings in fog.",1940,100.0
658,1942-10-24,00:00,"La Esperanza, Colombia",Avianca,?,?,Boeing 247,C-144,1949,6,4,2,6,4,2,0,Struck a mouintian 8km from La Esperanza.,1942,100.0
671,1943-02-18,12:30,"Seattle, Washington",Private - Boeing Aircraft Company,?,Test flight,Boeing XB-29,41-3,?,10,0,10,10,0,10,20,"Lost altitude, struck power lines and crashed into a packing house after encountering an engine fire on a test flight.",1943,100.0
672,1943-02-22,06:47,"Lisbon, Portugal",Pan American World Airways,9035,New York - Hamilton - Horta - Lisbon - Marseille,Boeing B-314 (flying boat),NC18603,1990,39,33,6,25,20,5,0,"Crashed into the Tagus River in poor weather while attempting to land. Inadvertent contact of the left wing tip of the aircraft with the water while making a descending turn preparatory to landing. The aircraft was named the Yankee Clipper.  Novelist Ben Robertson and singer, actress Tamara Drasin, 34, among those killed. Actress Jane Froman seriously injured. She later divorced her husband and married the co-pilot,who had saved her life despite his own serious injury, but they too divorced.",1943,64.1
802,1945-08-01,09:50,"Near San Luis Potosi, Mexico",Lineas Aereas Mineras,?,Mexico City - Nogales,Boeing 247D,XA-DUY,1723,12,9,3,12,9,3,0,Crashed into mountainous terrain after encountering engine failure..,1945,100.0
986,1947-10-14,10:04,"Ocean, 800 miles east of Newfoundland",American International Airways,?,"Foynes, Ireland - Botwood, Newfoundland - New York",Boeing 314A,NC18612,2086,69,62,7,0,0,0,0,"The plane was 5,000 pounds over its certified weight and had to land at sea when it ran out of fuel in severe headwinds.  Over the next following 25 hours all occupants were rescued by the US Coast Guard ship Bibb using rafts and small boats and the plane was then sunk as a hazard to shipping.",1947,0.0
1274,1951-09-12,11:46,"Off Redwood City, California",United Air Lines,?,San Francisco - Oakland - San Francisco,Boeing 377 Stratocruiser 10-34,N31230,15970,3,0,3,3,0,3,0,"The aircraft, with the No. 4 propeller feathered, stalled and dived into San Francisco Bay. An inadvertent stall at a low altitude from which recovery was not effected.",1951,100.0
1326,1952-04-29,04:40,"Near Carolina, Brazil",Pan American World Airways,202,Rio de Janeiro - New York City,Boeing 377-10-26 Stratocruiser,N1039V,15939/12,50,41,9,50,41,9,0,"The flight crashed into the jungle about 887 nm NNW of Rio de Janerio. Separation of the propeller blade leading to separation of the No. 2 engine due to highly unbalance forces, leading to the distintegration of the aircraft. The aircraft was named ""Clipper Good Hope.""",1952,100.0
1338,1952-07-27,11:46,"Off Rio de Janeiro, Brazil",Pan American World Airways,201,Rio de Janeiro - Buenos Aires,Boeing 377 Stratocruiser,N1030V,15939,27,19,8,1,1,0,0,A woman was sucked out of the plane . The flight engineer's failure to recognize an unsafe condition of the cabin door despite three completely separate warnings of that condition and the captain's action in continuing flight while pressurized despite the several warnings that the main cabin door was not properly locked.,1952,3.7
1381,1953-03-18,19:51,"Stephenville, Newfoundland",u.s. Air Force,?,Stephenville - Stephenville,Boeing B-29 Superfortress,44-69982,10814,10,0,10,10,0,10,0,Crashed while attempting to land.,1953,100.0
1495,1954-12-25,00:00,"Prestwick, Ayrshire, Scotland",British Overseas Airways,?,London - Prestwick - Shannon - Gander - New York,Boeing B377-10-28 Stratocruiser,G-ALSA,15943,36,25,11,28,24,4,0,"Crashed short of the runway, landing hard. Pilot error. Errors of judgement on the part of the captain in starting his final approach to land at too steep an angle and flaring out too late and too severely with the result that the aircraft sank and hit the ground short of the runway.",1954,77.78
