Unnamed: 0,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,_year,fallecidos_porcentaje
1,1909-09-07,00:00,"Juvisy-sur-Orge, France",?,?,Air show,Wright Byplane,SC1,?,1,0,1,1,0,0,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",1909,100.0
3,1913-08-06,00:00,"Victoria, British Columbia, Canada",Private,?,?,Curtiss seaplane,?,?,1,0,1,1,0,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",1913,100.0
17,1917-06-17,00:00,"Near Yarmouth, England",?,?,?,Zepplin L-48 (air ship),L-48,?,16,?,?,14,?,?,0,Shot down by aircraft.,1917,87.5
23,1918-12-16,00:00,"Elizabeth, New Jersey",US Aerial Mail Service,?,?,De Havilland DH-4,97,?,1,0,1,1,0,1,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,1918,100.0
24,1919-05-25,00:00,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,61,?,1,0,1,1,0,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,1919,100.0
25,1919-07-19,00:00,"Dix Run, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,82,?,1,0,1,1,0,1,0,The mail plane crashed under unknown circumstances.,1919,100.0
27,1919-08-02,00:00,"Verona, Italy",Caproni Company,?,Venice  Taliedo,Caproni Ca.48,?,?,14,12,2,14,12,2,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,1919,100.0
28,1919-10-02,00:00,"Newcastle, England",Aircraft Transport and Travel,?,?,De Havilland DH-4,?,?,1,0,1,1,0,1,0,?,1919,100.0
29,1919-10-14,00:00,"Cantonsville, Maryland",US Aerial Mail Service,?,?,Curtiss R-4LM,32,?,1,0,1,1,0,1,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",1919,100.0
31,1919-10-30,00:00,"Long Valley, New Jersey",US Aerial Mail Service,?,?,De Havilland DH.4,77,77,1,0,1,1,0,1,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",1919,100.0
32,1919-12-11,00:00,"Catherham, Surrey, UK",Aircraft Travel Transport,?,Paris - Hounslow,de Havilland DH-4,G-EAHF,?,1,1,1,1,1,1,0,Crashed in a field while attemptting to land.,1919,100.0
33,1920-03-10,00:00,"New Paris, Indiana",US Aerial Mail Service,?,?,De Havilland DH-4,65,?,1,0,1,1,0,1,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",1920,100.0
34,1920-03-30,00:00,"Newark, New Jersey",US Aerial Mail Service,?,Washington - Newark,De Havilland DH-4,72,?,1,0,1,1,0,1,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,1920,100.0
35,1920-04-10,00:00,"Newark, New Jersey",US Aerial Mail Service,?,?,Curtiss R-4LM,49,?,2,1,1,1,0,1,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,1920,50.0
36,1920-04-11,00:00,"Heller Field, New Jersey",US Aerial Mail Service,?,?,Curtiss JN-4H,44,?,2,1,1,1,0,1,0,The aircraft crashed while on approach for unknown reasons.,1920,50.0
37,1920-05-12,00:00,"Oskaloosa, Iowa",US Aerial Mail Service,?,?,De Havilland DH-4,79,?,2,1,1,1,1,0,0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",1920,50.0
38,1920-06-06,00:00,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,204,?,1,0,1,1,0,1,0,The aircraft suffered engine failure and crashed shortly after taking off.,1920,100.0
39,1920-07-20,00:00,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,?,?,Farman F-40,?,?,1,1,1,1,1,1,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,1920,100.0
40,1920-08-16,00:00,"Bedford, England",By Air,?,?,Armstrong-Whitworth F-K-8,G-EALW,?,1,0,1,1,0,1,0,The plane crashed during a cargo flight under unknown circumstances.,1920,100.0
41,1920-08-16,00:00,"College Park, Maryland",US Aerial Mail Service,?,?,De Havilland DH-4,317,?,1,0,1,1,0,1,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",1920,100.0
42,1920-09-01,00:00,"Morristown, New Jersey",US Aerial Mail Service,?,?,Junkers JL-6,305,?,2,0,2,2,0,2,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",1920,100.0
43,1920-09-15,00:00,"Pemberville, Ohio",US Aerial Mail Service,?,?,Junkers F-13,308,?,2,?,?,2,?,?,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,1920,100.0
44,1920-09-27,00:00,"Hillersburg, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,316,?,1,0,1,1,0,1,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,1920,100.0
45,1920-10-02,00:00,"Off Port Vendres, France",Latecoere Airlines,?,?,Salmson 2-A-2,F-ALAI,31,2,1,1,2,1,1,0,Crashed into the Mediterranean while on a mail flight.,1920,100.0
46,1920-10-05,00:00,"Valencia, Spain",Latecoere Airlines,?,?,Breguet 14,F-ALTA,20,2,1,1,2,1,1,0,While on a mail flight the plane crashed while attempting to land.,1920,100.0
47,1920-10-15,00:00,"Batavia, Illinois",US Aerial Mail Service,?,?,De Havilland DH-4,76,?,1,0,1,1,0,1,0,While attempting to land in fog the aircraft hit an obstruction and crashed.,1920,100.0
48,1920-11-07,00:00,"Tie Siding, Wyoming",US Aerial Mail Service,?,?,De Havilland DH-4,?,178,1,0,1,1,0,1,0,The aircraft crashed into a mountain in poor weather condtions.,1920,100.0
49,1920-12-14,12:15,"London, England",Handley Page Transport,?,London - Paris,Handley Page HP-16,G-EAMA,HP-25,8,6,2,4,2,2,0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,1920,50.0
50,1920-12-24,00:00,"Barcelona, Spain",Aeropostale,?,?,Breguet 14,F-ALBO,57,1,0,1,1,0,1,0,The aircraft stalled and crashed when an engine failed.,1920,100.0
51,1921-02-03,00:00,"Mendotta, Minnisota",US Aerial Mail Service,?,?,De Havilland DH-4,130,?,1,0,1,1,0,1,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,1921,100.0
52,1921-02-09,00:00,"La Crosse, Wisconsin",US Aerial Mail Service,?,?,Junkers F-13,301,?,3,0,3,3,0,3,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.,1921,100.0
53,1921-02-15,00:00,Off Gibraltar,Aeropostale,?,?,Breguet 14,F-ALBA,?,2,0,2,2,0,2,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,1921,100.0
